,Country,primaryValue,netWgt,flowCode
249,Gabon,4024299755.291,8668568198.0,X
250,Mexico,22361179534.0,47738019213.022,X
251,Mexico,22361179534.0,47738019213.022,X
252,Mexico,391.0,834.731,X
253,Mexico,391.0,834.731,X
254,Mexico,22361179935.0,47738020069.101,X
255,Mexico,22361179935.0,47738020069.101,X
256,Mexico,10.0,21.349,X
257,Mexico,10.0,21.349,X
258,Malaysia,7029151841.604,13745829830.0,X
259,Malaysia,7029151841.604,13745829830.0,X
260,Indonesia,1726630215.69,3576744902.0,X
261,Libya,24182530749.704,50463504300.0,X
262,Ireland,8705.038,2450.0,X
263,Luxembourg,36.952,1.0,X
264,Luxembourg,36.952,1.0,X
265,Luxembourg,36.952,1.0,X
266,Luxembourg,36.952,1.0,X
267,Luxembourg,36.952,1.0,X
268,Luxembourg,36.952,1.0,X
269,Luxembourg,36.952,1.0,X
270,Luxembourg,36.952,1.0,X
271,Lithuania,17537068.0,37759070.0,X
272,Côte d'Ivoire,4560.848,554.0,X
273,Belarus,726767000.0,1649400000.0,X
274,Bolivia (Plurinational State of),21483108.65,0.0,X
